Re,alpha_deg,CL,CD,CM
160.16696,27.119678,0.9470335,0.50213987,-0.110055745
99939.836,25.73186,0.9492484,0.30159682,-0.13849926
99459.37,25.73186,0.9474462,0.30155268,-0.13825567
98503.06,25.73186,0.94385636,0.30146584,-0.13777137
97080.125,25.73186,0.93848914,0.3013388,-0.13704905
95204.266,25.73186,0.93130577,0.30117482,-0.13608515
92893.55,25.73186,0.9221814,0.30097905,-0.13486293
90170.22,25.73186,0.91089207,0.3007577,-0.13335034
87060.51,25.73186,0.8971929,0.300517,-0.1315083
83594.37,25.73186,0.8810671,0.30026203,-0.12932341
79805.18,25.73186,0.8630343,0.29999113,-0.12684837
75729.43,25.73186,0.844151,0.29969633,-0.12420267
71406.375,25.73186,0.82545376,0.2993815,-0.12150302
66877.65,25.73186,0.8082875,0.29910398,-0.11892104
62186.86,25.73186,0.80179745,0.2991014,-0.117761634
57379.188,25.73186,0.85186297,0.30026332,-0.1246485
52500.93,25.73186,1.0260383,0.3039062,-0.14936888
47599.07,25.73186,1.2028444,0.3080662,-0.1745753
42720.812,25.73186,1.2281582,0.30997202,-0.17832962
37913.14,25.73186,1.2234981,0.31163633,-0.17783196
33222.35,25.73186,1.225385,0.31375638,-0.1784013
28693.623,25.73186,1.2284288,0.31622466,-0.17955855
24370.568,25.73186,1.2309401,0.3184258,-0.18113296
20294.82,25.73186,1.23269,0.32085806,-0.18272297
16505.63,25.73186,1.2319305,0.32411465,-0.18440542
13039.491,25.73186,1.2294321,0.32748753,-0.18711914
9929.784,25.73186,1.2254579,0.33061317,-0.19186816
7206.456,25.73186,1.2117563,0.33463526,-0.1979168
4895.735,25.73186,1.1686351,0.33638996,-0.19562182
3019.874,25.73186,1.141255,0.33062515,-0.1842736
1596.9388,25.73186,1.1352789,0.3302771,-0.17472804
640.6333,25.73186,1.164377,0.35668674,-0.16421083
160.16696,25.73186,0.9360829,0.48462772,-0.102350876
99939.836,24.096226,0.91650134,0.28395182,-0.12469648
99459.37,24.096226,0.9150104,0.28390327,-0.124510266
98503.06,24.096226,0.9120385,0.28380564,-0.12414024
97080.125,24.096226,0.9075804,0.28365707,-0.12358685
95204.266,24.096226,0.90156066,0.2834556,-0.12284114
92893.55,24.096226,0.89377075,0.2831993,-0.121874765
90170.22,24.096226,0.8838171,0.2828883,-0.1206321
87060.51,24.096226,0.8711468,0.28253073,-0.119031
83594.37,24.096226,0.8552733,0.28215027,-0.11699252
79805.18,24.096226,0.8363205,0.28178596,-0.114513084
75729.43,24.096226,0.815516,0.2814777,-0.11173202
71406.375,24.096226,0.79481447,0.28124478,-0.10888348
66877.65,24.096226,0.77569205,0.2810946,-0.10613763
62186.86,24.096226,0.761866,0.28110883,-0.10399475
57379.188,24.096226,0.785197,0.28189394,-0.10704062
52500.93,24.096226,0.9430023,0.2852525,-0.12942259
47599.07,24.096226,1.1512996,0.28996137,-0.15922752
42720.812,24.096226,1.1865299,0.2921921,-0.16453342
37913.14,24.096226,1.1803188,0.2943514,-0.16403696
33222.35,24.096226,1.1818128,0.29686853,-0.16493878
28693.623,24.096226,1.1842064,0.2990903,-0.16648757
24370.568,24.096226,1.1856997,0.30144095,-0.16824527
20294.82,24.096226,1.185094,0.30416432,-0.1699222
16505.63,24.096226,1.1823354,0.30731016,-0.1718986
13039.491,24.096226,1.177522,0.3103844,-0.17523693
9929.784,24.096226,1.1726002,0.31335217,-0.18017253
7206.456,24.096226,1.149852,0.31478694,-0.18476431
4895.735,24.096226,1.0877087,0.3131827,-0.1740408
3019.874,24.096226,1.083208,0.30964407,-0.16862476
1596.9388,24.096226,1.080191,0.31063098,-0.15922818
640.6333,24.096226,1.1031942,0.33833498,-0.14730088
160.16696,24.096226,0.9247489,0.46232817,-0.092955455
99939.836,22.228535,0.88706917,0.26260874,-0.10960035
99459.37,22.228535,0.88600326,0.26259091,-0.10949059
98503.06,22.228535,0.88386905,0.2625511,-0.109271646
97080.125,22.228535,0.88063467,0.26248056,-0.108941
95204.266,22.228535,0.8761943,0.2623658,-0.1084862
92893.55,22.228535,0.8702874,0.26218852,-0.107873365
90170.22,22.228535,0.8624633,0.26192817,-0.10704069
87060.51,22.228535,0.8520229,0.2615671,-0.10588964
83594.37,22.228535,0.83811754,0.26110628,-0.10429382
79805.18,22.228535,0.8201162,0.26058537,-0.10214554
75729.43,22.228535,0.7984253,0.26009637,-0.09946747
71406.375,22.228535,0.77514523,0.25976637,-0.0965126
66877.65,22.228535,0.7533206,0.25970265,-0.09366693
62186.86,22.228535,0.7361721,0.25994572,-0.09132977
57379.188,22.228535,0.7408676,0.26073414,-0.091896966
52500.93,22.228535,0.8706095,0.26381445,-0.110314965
47599.07,22.228535,1.0999718,0.26915225,-0.14324148
42720.812,22.228535,1.1328709,0.27203292,-0.14845698
37913.14,22.228535,1.1271186,0.27451512,-0.14839438
33222.35,22.228535,1.1285647,0.27696383,-0.14979196
28693.623,22.228535,1.1298156,0.27925393,-0.15156126
24370.568,22.228535,1.1287355,0.28161207,-0.15332277
20294.82,22.228535,1.1255505,0.28445038,-0.15526149
16505.63,22.228535,1.1206281,0.28712174,-0.15792283
13039.491,22.228535,1.1141443,0.28968126,-0.16160022
9929.784,22.228535,1.1043489,0.29233947,-0.16646227
7206.456,22.228535,1.0705085,0.28989875,-0.16912596
4895.735,22.228535,1.0171877,0.28728184,-0.15579657
3019.874,22.228535,1.013447,0.2847586,-0.15015797
1596.9388,22.228535,1.014302,0.28776592,-0.14080998
640.6333,22.228535,1.0247731,0.3160519,-0.12640396
160.16696,22.228535,0.91130465,0.43740022,-0.082003
99939.836,20.146769,0.82677996,0.2368384,-0.08994599
99459.37,20.146769,0.82657766,0.23688725,-0.089960024
98503.06,20.146769,0.82623065,0.23698373,-0.08999881
97080.125,20.146769,0.8258182,0.23712514,-0.09007813
95204.266,20.146769,0.8253768,0.23730403,-0.09020996
92893.55,20.146769,0.8248156,0.23750706,-0.09039029
90170.22,20.146769,0.82386315,0.2377114,-0.09059085
87060.51,20.146769,0.8220072,0.23788512,-0.09075112
83594.37,20.146769,0.818485,0.23799017,-0.09077461
79805.18,20.146769,0.8123662,0.23799443,-0.090532504
75729.43,20.146769,0.8029394,0.23789884,-0.0899
71406.375,20.146769,0.7901951,0.23776853,-0.088806175
66877.65,20.146769,0.77440286,0.23775198,-0.08719129
62186.86,20.146769,0.75584245,0.23806871,-0.08501316
57379.188,20.146769,0.74596083,0.23903383,-0.08383386
52500.93,20.146769,0.8388291,0.24195011,-0.097221196
47599.07,20.146769,1.0443795,0.24687472,-0.12705949
42720.812,20.146769,1.0704019,0.24953088,-0.13175319
37913.14,20.146769,1.0644315,0.25196755,-0.13218565
33222.35,20.146769,1.064923,0.25425425,-0.13385744
28693.623,20.146769,1.0633969,0.25650033,-0.13574387
24370.568,20.146769,1.059869,0.25902084,-0.1378564
20294.82,20.146769,1.054356,0.2614148,-0.14046335
16505.63,20.146769,1.0467166,0.26366976,-0.14359997
13039.491,20.146769,1.0382355,0.26562315,-0.14760175
9929.784,20.146769,1.0209429,0.26634246,-0.15119942
7206.456,20.146769,0.97451645,0.2650308,-0.14905067
4895.735,20.146769,0.93399644,0.25790566,-0.1351613
3019.874,20.146769,0.9340002,0.25700444,-0.12960562
1596.9388,20.146769,0.9398134,0.262437,-0.1201766
640.6333,20.146769,0.9180382,0.291538,-0.10132544
160.16696,20.146769,0.8680484,0.41194227,-0.06719999
99939.836,17.87098,0.87307006,0.21015021,-0.08461658
99459.37,17.87098,0.86818844,0.21054043,-0.08421802
98503.06,17.87098,0.8590304,0.21125393,-0.08347322
97080.125,17.87098,0.8468541,0.21216516,-0.0824975
95204.266,17.87098,0.8335004,0.21311249,-0.0814676
92893.55,17.87098,0.8211138,0.21393622,-0.08059475
90170.22,17.87098,0.8116288,0.21451823,-0.08006533
87060.51,17.87098,0.80617124,0.21481201,-0.07997351
83594.37,17.87098,0.80461574,0.21485089,-0.08028136
79805.18,17.87098,0.805529,0.21473387,-0.08082889
75729.43,17.87098,0.80675817,0.21458894,-0.08140724
71406.375,17.87098,0.80666006,0.21453144,-0.081889875
66877.65,17.87098,0.80463326,0.2146463,-0.08226029
62186.86,17.87098,0.79704297,0.2149575,-0.081984565
57379.188,17.87098,0.77846855,0.2155329,-0.08022461
52500.93,17.87098,0.79077375,0.21704267,-0.08294377
47599.07,17.87098,0.93592083,0.2207434,-0.10485925
42720.812,17.87098,1.000344,0.22367525,-0.11557994
37913.14,17.87098,0.9929211,0.22590518,-0.11646686
33222.35,17.87098,0.9904988,0.22838396,-0.11859198
28693.623,17.87098,0.98666453,0.23065643,-0.12104304
24370.568,17.87098,0.9806114,0.23273368,-0.123564385
20294.82,17.87098,0.9721036,0.23454796,-0.1263399
16505.63,17.87098,0.9621004,0.23589025,-0.12973303
13039.491,17.87098,0.9475397,0.23668204,-0.13282767
9929.784,17.87098,0.9150786,0.23600079,-0.13419795
7206.456,17.87098,0.8445231,0.2275002,-0.117677525
4895.735,17.87098,0.84523314,0.22621816,-0.11372123
3019.874,17.87098,0.84824896,0.22711867,-0.1078444
1596.9388,17.87098,0.8611213,0.23479263,-0.0986628
640.6333,17.87098,0.7991841,0.26631707,-0.07553302
160.16696,17.87098,0.793993,0.39071313,-0.051859774
99939.836,15.423082,1.4452465,0.079570584,-0.023300538
99459.37,15.423082,1.443883,0.079807945,-0.023263486
98503.06,15.423082,1.4410411,0.08029073,-0.02319083
97080.125,15.423082,1.43649,0.081035,-0.023085333
95204.266,15.423082,1.4299138,0.0820632,-0.022951787
92893.55,15.423082,1.4209678,0.08339996,-0.022795578
90170.22,15.423082,1.4094552,0.085056596,-0.022623057
87060.51,15.423082,1.3957002,0.08699296,-0.022446517
83594.37,15.423082,1.3809228,0.08908148,-0.022322897
79805.18,15.423082,1.3655176,0.09136657,-0.02250426
75729.43,15.423082,1.3443718,0.09453182,-0.023860412
71406.375,15.423082,1.3069929,0.09944417,-0.027847117
66877.65,15.423082,1.2162433,0.11554088,-0.039468814
62186.86,15.423082,1.0294492,0.16311012,-0.06773066
57379.188,15.423082,0.9195937,0.17729147,-0.08347633
52500.93,15.423082,0.8593195,0.18880387,-0.08668412
47599.07,15.423082,0.8968031,0.1931276,-0.094562024
42720.812,15.423082,0.9212582,0.19482799,-0.10048585
37913.14,15.423082,0.91650546,0.19637056,-0.10246035
33222.35,15.423082,0.9139131,0.19823126,-0.10511943
28693.623,15.423082,0.9065175,0.20036511,-0.107862994
24370.568,15.423082,0.8951311,0.20207375,-0.11070756
20294.82,15.423082,0.88219327,0.20329988,-0.113436304
16505.63,15.423082,0.86402345,0.20399895,-0.11601175
13039.491,15.423082,0.83281696,0.20343745,-0.117063865
9929.784,15.423082,0.75940275,0.19505322,-0.101820074
7206.456,15.423082,0.7516576,0.19244581,-0.09625478
4895.735,15.423082,0.7539935,0.19266954,-0.09177685
3019.874,15.423082,0.75918925,0.19610433,-0.08569341
1596.9388,15.423082,0.77349174,0.20638311,-0.07702501
640.6333,15.423082,0.72186196,0.23975064,-0.058021616
160.16696,15.423082,0.7638858,0.37333065,-0.047759034
99939.836,12.826653,1.4049168,0.049225677,-0.03588138
99459.37,12.826653,1.4054754,0.04928437,-0.03589965
98503.06,12.826653,1.4065963,0.049404617,-0.035937943
97080.125,12.826653,1.4082823,0.049592093,-0.035998743
