alpha_deg,Re,CL,CD,CM
29.100937,47599.07,1.2432194,0.37196308,-0.18082261
29.100937,42720.812,1.2489,0.37387124,-0.18163398
29.100937,37913.14,1.2464961,0.3754063,-0.18140651
29.100937,33222.35,1.2492076,0.3775084,-0.18190923
29.100937,28693.623,1.2525103,0.38012767,-0.18282668
29.100937,24370.568,1.2554346,0.38254574,-0.18417697
29.100937,20294.82,1.2574414,0.38496485,-0.18560305
29.100937,16505.63,1.2578564,0.38807458,-0.18714795
29.100937,13039.491,1.2562944,0.3915208,-0.18964778
29.100937,9929.784,1.253247,0.3945002,-0.19431978
29.100937,7206.456,1.2425119,0.39810708,-0.20074922
29.100937,4895.735,1.2069768,0.39689463,-0.20153135
29.100937,3019.874,1.177324,0.3915723,-0.18945111
29.100937,1596.9388,1.1707046,0.39029545,-0.1800714
29.100937,640.6333,1.2001214,0.41874364,-0.16980992
29.100937,160.16696,0.9439005,0.53788835,-0.10708191
28.246323,99939.836,0.9544114,0.33980435,-0.13959688
28.246323,99459.37,0.95259976,0.33968523,-0.13937172
28.246323,98503.06,0.94898,0.33945027,-0.1389225
28.246323,97080.125,0.9435465,0.3391028,-0.1382488
28.246323,95204.266,0.9362614,0.33864608,-0.13734671
28.246323,92893.55,0.92704886,0.33808404,-0.13620573
28.246323,90170.22,0.91582036,0.3374173,-0.13481192
28.246323,87060.51,0.90257144,0.33664677,-0.13315786
28.246323,83594.37,0.8875457,0.33577964,-0.13126221
28.246323,79805.18,0.8712997,0.33483112,-0.12917663
28.246323,75729.43,0.85457736,0.3338321,-0.12697417
28.246323,71406.375,0.838443,0.33286265,-0.12477469
28.246323,66877.65,0.8271068,0.33221695,-0.12312123
28.246323,62186.86,0.8395789,0.33303252,-0.12451598
28.246323,57379.188,0.9238512,0.33836624,-0.1352935
28.246323,52500.93,1.0969713,0.3507884,-0.1577014
28.246323,47599.07,1.222658,0.361682,-0.17404793
28.246323,42720.812,1.2297667,0.36376595,-0.17511362
28.246323,37913.14,1.2269045,0.36527148,-0.17489378
28.246323,33222.35,1.2291789,0.3675538,-0.17550115
28.246323,28693.623,1.2321024,0.37016496,-0.17662011
28.246323,24370.568,1.234366,0.37246972,-0.17810397
28.246323,20294.82,1.235981,0.3750034,-0.17959191
28.246323,16505.63,1.2351514,0.37824515,-0.18125679
28.246323,13039.491,1.2327691,0.38142186,-0.18404374
28.246323,9929.784,1.2292329,0.38428172,-0.1888148
28.246323,7206.456,1.2151332,0.38733,-0.19481067
28.246323,4895.735,1.1734052,0.3869884,-0.19216198
28.246323,3019.874,1.150677,0.37965095,-0.18233016
28.246323,1596.9388,1.1450416,0.3790358,-0.17302622
28.246323,640.6333,1.1739924,0.4080642,-0.16249892
28.246323,160.16696,0.9373975,0.5272485,-0.10265864
27.119678,99939.836,0.9322586,0.3268486,-0.13078108
27.119678,99459.37,0.9306217,0.32673225,-0.13058734
27.119678,98503.06,0.92733485,0.32650134,-0.13019858
27.119678,97080.125,0.9223548,0.32615688,-0.1296102
27.119678,95204.266,0.9155748,0.3256996,-0.12880856
27.119678,92893.55,0.9068014,0.32512975,-0.12776853
27.119678,90170.22,0.89577967,0.32444912,-0.12645483
27.119678,87060.51,0.88233656,0.32366633,-0.12483736
27.119678,83594.37,0.8666561,0.3228027,-0.12292442
27.119678,79805.18,0.8494913,0.32189152,-0.120789185
27.119678,75729.43,0.83193,0.32096803,-0.11854141
27.119678,71406.375,0.81481093,0.32007137,-0.11626381
27.119678,66877.65,0.80007327,0.31934518,-0.11419421
27.119678,62186.86,0.80154294,0.31958163,-0.11414176
27.119678,57379.188,0.87134105,0.3237713,-0.12298573
27.119678,52500.93,1.0491551,0.33573645,-0.14600779
27.119678,47599.07,1.1933284,0.3476392,-0.1648375
27.119678,42720.812,1.2029458,0.34996325,-0.1663182
27.119678,37913.14,1.1992853,0.3516822,-0.16612688
27.119678,33222.35,1.2011242,0.3542237,-0.16693573
27.119678,28693.623,1.2036641,0.3566189,-0.16832064
27.119678,24370.568,1.2053019,0.35899758,-0.16994123
27.119678,20294.82,1.2055479,0.3616406,-0.17150109
27.119678,16505.63,1.2034737,0.36477283,-0.17335603
27.119678,13039.491,1.199687,0.36767673,-0.17657095
27.119678,9929.784,1.1956924,0.37045956,-0.18145642
27.119678,7206.456,1.1761234,0.37162763,-0.1866369
27.119678,4895.735,1.1208146,0.36815265,-0.17844115
27.119678,3019.874,1.1141018,0.36351445,-0.17263557
27.119678,1596.9388,1.1101234,0.36380383,-0.16341263
27.119678,640.6333,1.1368625,0.39350387,-0.15226631
27.119678,160.16696,0.9289151,0.5120277,-0.096580125
25.73186,99939.836,0.90715295,0.31070456,-0.119975045
25.73186,99459.37,0.9057457,0.31059763,-0.11982177
25.73186,98503.06,0.9029137,0.31038275,-0.11951379
25.73186,97080.125,0.8986013,0.31005627,-0.119044356
25.73186,95204.266,0.89266205,0.30961207,-0.118395664
25.73186,92893.55,0.8848278,0.30904046,-0.117533036
25.73186,90170.22,0.874669,0.30833268,-0.11639929
25.73186,87060.51,0.861717,0.30749157,-0.114927284
25.73186,83594.37,0.8457533,0.3065479,-0.11307435
25.73186,79805.18,0.82734805,0.30557165,-0.11088725
25.73186,75729.43,0.80800533,0.30464765,-0.10852303
25.73186,71406.375,0.789338,0.30383438,-0.1061506
25.73186,66877.65,0.77255684,0.30317876,-0.10389564
25.73186,62186.86,0.765082,0.30307007,-0.10270796
25.73186,57379.188,0.81323993,0.30592743,-0.108713865
25.73186,52500.93,0.9882044,0.3168756,-0.13143629
25.73186,47599.07,1.1557522,0.3298647,-0.15343472
25.73186,42720.812,1.1670294,0.3327035,-0.1552733
25.73186,37913.14,1.1628996,0.3349111,-0.15525746
25.73186,33222.35,1.1648685,0.3373967,-0.15641294
25.73186,28693.623,1.1665238,0.3397065,-0.15800893
25.73186,24370.568,1.1671443,0.34207404,-0.15967551
25.73186,20294.82,1.1653305,0.3448432,-0.16139708
25.73186,16505.63,1.1620737,0.3475392,-0.16364159
25.73186,13039.491,1.156739,0.35013923,-0.16721457
25.73186,9929.784,1.1506189,0.3527361,-0.17225778
25.73186,7206.456,1.1246088,0.3505696,-0.17617661
25.73186,4895.735,1.0714937,0.3464496,-0.16571188
25.73186,3019.874,1.0671299,0.34310445,-0.16032068
25.73186,1596.9388,1.0655861,0.3446896,-0.1511419
25.73186,640.6333,1.0875038,0.37484226,-0.1388669
25.73186,160.16696,0.9200485,0.49270445,-0.08895271
24.096226,99939.836,0.8836632,0.291219,-0.10769252
24.096226,99459.37,0.8825632,0.29114753,-0.10759258
24.096226,98503.06,0.8803343,0.2910004,-0.10738987
24.096226,97080.125,0.8768975,0.2907654,-0.10707563
24.096226,95204.266,0.8720812,0.2904242,-0.10662948
24.096226,92893.55,0.8655688,0.2899498,-0.10601241
24.096226,90170.22,0.8568529,0.28931057,-0.10515944
24.096226,87060.51,0.84525216,0.2884809,-0.10397905
24.096226,83594.37,0.8300907,0.28746408,-0.102371566
24.096226,79805.18,0.811232,0.28632933,-0.1002928
24.096226,75729.43,0.7898325,0.28522786,-0.097852044
24.096226,71406.375,0.7683149,0.2843425,-0.095316015
24.096226,66877.65,0.7491966,0.28379267,-0.092966326
24.096226,62186.86,0.7366101,0.28371918,-0.091292456
24.096226,57379.188,0.7632812,0.28562802,-0.09459792
24.096226,52500.93,0.9327886,0.295741,-0.11673389
24.096226,47599.07,1.115881,0.3097494,-0.14101961
24.096226,42720.812,1.1214377,0.31254816,-0.1423442
24.096226,37913.14,1.1183827,0.31481236,-0.14281276
24.096226,33222.35,1.1198086,0.317322,-0.1442946
24.096226,28693.623,1.1204079,0.31952757,-0.14598206
24.096226,24370.568,1.1186489,0.321877,-0.14775713
24.096226,20294.82,1.1152197,0.32441628,-0.1498157
24.096226,16505.63,1.1099333,0.32672843,-0.15266393
24.096226,13039.491,1.1040072,0.3288118,-0.1564289
24.096226,9929.784,1.0931785,0.3306727,-0.16113214
24.096226,7206.456,1.0591732,0.32594818,-0.16367324
24.096226,4895.735,1.0130429,0.32107988,-0.15102853
24.096226,3019.874,1.0099406,0.31865582,-0.14554775
24.096226,1596.9388,1.0114938,0.32211503,-0.13635051
24.096226,640.6333,1.0236801,0.35192153,-0.12227167
24.096226,160.16696,0.90912646,0.4705191,-0.07983997
22.228535,99939.836,0.84501386,0.2670486,-0.092646636
22.228535,99459.37,0.8447431,0.26707807,-0.09265964
22.228535,98503.06,0.84420425,0.26713368,-0.09268781
22.228535,97080.125,0.8433756,0.26720676,-0.092731684
22.228535,95204.266,0.8421533,0.2672795,-0.0927828
22.228535,92893.55,0.8402961,0.26732203,-0.09281621
22.228535,90170.22,0.837355,0.26728892,-0.09278119
22.228535,87060.51,0.83262205,0.26711917,-0.092593364
22.228535,83594.37,0.8251194,0.26674598,-0.09212845
22.228535,79805.18,0.8138013,0.26612756,-0.09123852
22.228535,75729.43,0.7982315,0.2653033,-0.08982519
22.228535,71406.375,0.7793538,0.26443505,-0.08794057
22.228535,66877.65,0.75921714,0.26377136,-0.085775174
