Re,alpha_deg,CL_fit,CD_fit,CM_fit
26364.928,-28.753202,-0.82618487,0.32626548,0.07082031
27372.805,-28.753202,-0.8282888,0.32493448,0.07118994
28380.68,-28.753202,-0.8306973,0.3234751,0.07161659
29388.555,-28.753202,-0.83285767,0.32225704,0.07202996
30396.432,-28.753202,-0.8343389,0.32155323,0.072365135
31404.307,-28.753202,-0.83493024,0.3214672,0.07257995
32412.182,-28.753202,-0.8346689,0.3219183,0.072664335
33420.06,-28.753202,-0.833795,0.3226803,0.07264
34427.934,-28.753202,-0.83266604,0.32345754,0.07255168
35435.81,-28.753202,-0.8316461,0.32397136,0.0724533
36443.684,-28.753202,-0.8310109,0.324036,0.07239278
37451.562,-28.753202,-0.8308836,0.3236016,0.07240042
38459.438,-28.753202,-0.8312204,0.32275853,0.07248272
39467.312,-28.753202,-0.83184385,0.3217052,0.07262311
40475.188,-28.753202,-0.8325021,0.3206885,0.07278844
41483.062,-28.753202,-0.83294994,0.31993836,0.07293927
42490.938,-28.753202,-0.83301497,0.3196082,0.07304108
43498.812,-28.753202,-0.83264583,0.31974024,0.073072925
44506.69,-28.753202,-0.83192176,0.32025963,0.07303235
45514.566,-28.753202,-0.83102715,0.3209988,0.07293536
46522.44,-28.753202,-0.8302033,0.3217435,0.07281106
47530.316,-28.753202,-0.8296817,0.32228848,0.07269388
48538.19,-28.753202,-0.82962507,0.32248926,0.072614804
49546.066,-28.753202,-0.8300865,0.32229584,0.0725933
50553.938,-28.753202,-0.8309931,0.32176244,0.072633296
51561.812,-28.753202,-0.8321667,0.3210308,0.07272276
52569.688,-28.753202,-0.83336765,0.3202923,0.072837554
53577.562,-28.753202,-0.83435094,0.31973752,0.072948396
54585.438,-28.753202,-0.834928,0.31950784,0.073028356
55593.312,-28.753202,-0.83501136,0.31965974,0.07306053
56601.19,-28.753202,-0.8346322,0.32015035,0.073042095
57609.066,-28.753202,-0.83393395,0.32084903,0.072984695
58616.94,-28.753202,-0.8331324,0.32157156,0.07291148
59624.816,-28.753202,-0.83246064,0.32212764,0.072850406
60632.69,-28.753202,-0.832112,0.32237193,0.072826326
61640.566,-28.753202,-0.8321884,0.32224238,0.072853975
62648.44,-28.753202,-0.8326787,0.32177904,0.072933346
